"level2n","level1n","ICC","PS_model","treatment_model","Outcome_model","tau_var"
60,10,0.1,1,1,1,0.1
60,10,0.1,1,1,1,0.47
60,10,0.1,1,1,2,0.1
60,10,0.1,1,1,2,0.47
60,10,0.1,1,1,3,0.1
60,10,0.1,1,1,3,0.47
60,10,0.1,1,2,1,0.1
60,10,0.1,1,2,1,0.47
60,10,0.1,1,2,2,0.1
60,10,0.1,1,2,2,0.47
60,10,0.1,1,2,3,0.1
60,10,0.1,1,2,3,0.47
60,10,0.1,1,3,1,0.1
60,10,0.1,1,3,1,0.47
60,10,0.1,1,3,2,0.1
60,10,0.1,1,3,2,0.47
60,10,0.1,1,3,3,0.1
60,10,0.1,1,3,3,0.47
60,10,0.1,2,1,1,0.1
60,10,0.1,2,1,1,0.47
60,10,0.1,2,1,2,0.1
60,10,0.1,2,1,2,0.47
60,10,0.1,2,1,3,0.1
60,10,0.1,2,1,3,0.47
60,10,0.1,2,2,1,0.1
60,10,0.1,2,2,1,0.47
60,10,0.1,2,2,2,0.1
60,10,0.1,2,2,2,0.47
60,10,0.1,2,2,3,0.1
60,10,0.1,2,2,3,0.47
60,10,0.1,2,3,1,0.1
60,10,0.1,2,3,1,0.47
60,10,0.1,2,3,2,0.1
60,10,0.1,2,3,2,0.47
60,10,0.1,2,3,3,0.1
60,10,0.1,2,3,3,0.47
60,10,0.1,3,1,1,0.1
60,10,0.1,3,1,1,0.47
60,10,0.1,3,1,2,0.1
60,10,0.1,3,1,2,0.47
60,10,0.1,3,1,3,0.1
60,10,0.1,3,1,3,0.47
60,10,0.1,3,2,1,0.1
60,10,0.1,3,2,1,0.47
60,10,0.1,3,2,2,0.1
60,10,0.1,3,2,2,0.47
60,10,0.1,3,2,3,0.1
60,10,0.1,3,2,3,0.47
60,10,0.1,3,3,1,0.1
60,10,0.1,3,3,1,0.47
60,10,0.1,3,3,2,0.1
60,10,0.1,3,3,2,0.47
60,10,0.1,3,3,3,0.1
60,10,0.1,3,3,3,0.47
60,10,0.3,1,1,1,0.1
60,10,0.3,1,1,1,0.47
60,10,0.3,1,1,2,0.1
60,10,0.3,1,1,2,0.47
60,10,0.3,1,1,3,0.1
60,10,0.3,1,1,3,0.47
60,10,0.3,1,2,1,0.1
60,10,0.3,1,2,1,0.47
60,10,0.3,1,2,2,0.1
60,10,0.3,1,2,2,0.47
60,10,0.3,1,2,3,0.1
60,10,0.3,1,2,3,0.47
60,10,0.3,1,3,1,0.1
60,10,0.3,1,3,1,0.47
60,10,0.3,1,3,2,0.1
60,10,0.3,1,3,2,0.47
60,10,0.3,1,3,3,0.1
60,10,0.3,1,3,3,0.47
60,10,0.3,2,1,1,0.1
60,10,0.3,2,1,1,0.47
60,10,0.3,2,1,2,0.1
60,10,0.3,2,1,2,0.47
60,10,0.3,2,1,3,0.1
60,10,0.3,2,1,3,0.47
60,10,0.3,2,2,1,0.1
60,10,0.3,2,2,1,0.47
60,10,0.3,2,2,2,0.1
60,10,0.3,2,2,2,0.47
60,10,0.3,2,2,3,0.1
60,10,0.3,2,2,3,0.47
60,10,0.3,2,3,1,0.1
60,10,0.3,2,3,1,0.47
60,10,0.3,2,3,2,0.1
60,10,0.3,2,3,2,0.47
60,10,0.3,2,3,3,0.1
60,10,0.3,2,3,3,0.47
60,10,0.3,3,1,1,0.1
60,10,0.3,3,1,1,0.47
60,10,0.3,3,1,2,0.1
60,10,0.3,3,1,2,0.47
60,10,0.3,3,1,3,0.1
60,10,0.3,3,1,3,0.47
60,10,0.3,3,2,1,0.1
60,10,0.3,3,2,1,0.47
60,10,0.3,3,2,2,0.1
60,10,0.3,3,2,2,0.47
60,10,0.3,3,2,3,0.1
60,10,0.3,3,2,3,0.47
60,10,0.3,3,3,1,0.1
60,10,0.3,3,3,1,0.47
60,10,0.3,3,3,2,0.1
60,10,0.3,3,3,2,0.47
60,10,0.3,3,3,3,0.1
60,10,0.3,3,3,3,0.47
60,30,0.1,1,1,1,0.1
60,30,0.1,1,1,1,0.47
60,30,0.1,1,1,2,0.1
60,30,0.1,1,1,2,0.47
60,30,0.1,1,1,3,0.1
60,30,0.1,1,1,3,0.47
60,30,0.1,1,2,1,0.1
60,30,0.1,1,2,1,0.47
60,30,0.1,1,2,2,0.1
60,30,0.1,1,2,2,0.47
60,30,0.1,1,2,3,0.1
60,30,0.1,1,2,3,0.47
60,30,0.1,1,3,1,0.1
60,30,0.1,1,3,1,0.47
60,30,0.1,1,3,2,0.1
60,30,0.1,1,3,2,0.47
60,30,0.1,1,3,3,0.1
60,30,0.1,1,3,3,0.47
60,30,0.1,2,1,1,0.1
60,30,0.1,2,1,1,0.47
60,30,0.1,2,1,2,0.1
60,30,0.1,2,1,2,0.47
60,30,0.1,2,1,3,0.1
60,30,0.1,2,1,3,0.47
60,30,0.1,2,2,1,0.1
60,30,0.1,2,2,1,0.47
60,30,0.1,2,2,2,0.1
60,30,0.1,2,2,2,0.47
60,30,0.1,2,2,3,0.1
60,30,0.1,2,2,3,0.47
60,30,0.1,2,3,1,0.1
60,30,0.1,2,3,1,0.47
60,30,0.1,2,3,2,0.1
60,30,0.1,2,3,2,0.47
60,30,0.1,2,3,3,0.1
60,30,0.1,2,3,3,0.47
60,30,0.1,3,1,1,0.1
60,30,0.1,3,1,1,0.47
60,30,0.1,3,1,2,0.1
60,30,0.1,3,1,2,0.47
60,30,0.1,3,1,3,0.1
60,30,0.1,3,1,3,0.47
60,30,0.1,3,2,1,0.1
60,30,0.1,3,2,1,0.47
60,30,0.1,3,2,2,0.1
60,30,0.1,3,2,2,0.47
60,30,0.1,3,2,3,0.1
60,30,0.1,3,2,3,0.47
60,30,0.1,3,3,1,0.1
60,30,0.1,3,3,1,0.47
60,30,0.1,3,3,2,0.1
60,30,0.1,3,3,2,0.47
60,30,0.1,3,3,3,0.1
60,30,0.1,3,3,3,0.47
60,30,0.3,1,1,1,0.1
60,30,0.3,1,1,1,0.47
60,30,0.3,1,1,2,0.1
60,30,0.3,1,1,2,0.47
60,30,0.3,1,1,3,0.1
60,30,0.3,1,1,3,0.47
60,30,0.3,1,2,1,0.1
60,30,0.3,1,2,1,0.47
60,30,0.3,1,2,2,0.1
60,30,0.3,1,2,2,0.47
60,30,0.3,1,2,3,0.1
60,30,0.3,1,2,3,0.47
60,30,0.3,1,3,1,0.1
60,30,0.3,1,3,1,0.47
60,30,0.3,1,3,2,0.1
60,30,0.3,1,3,2,0.47
60,30,0.3,1,3,3,0.1
60,30,0.3,1,3,3,0.47
60,30,0.3,2,1,1,0.1
60,30,0.3,2,1,1,0.47
60,30,0.3,2,1,2,0.1
60,30,0.3,2,1,2,0.47
60,30,0.3,2,1,3,0.1
60,30,0.3,2,1,3,0.47
60,30,0.3,2,2,1,0.1
60,30,0.3,2,2,1,0.47
60,30,0.3,2,2,2,0.1
60,30,0.3,2,2,2,0.47
60,30,0.3,2,2,3,0.1
60,30,0.3,2,2,3,0.47
60,30,0.3,2,3,1,0.1
60,30,0.3,2,3,1,0.47
60,30,0.3,2,3,2,0.1
60,30,0.3,2,3,2,0.47
60,30,0.3,2,3,3,0.1
60,30,0.3,2,3,3,0.47
60,30,0.3,3,1,1,0.1
60,30,0.3,3,1,1,0.47
60,30,0.3,3,1,2,0.1
60,30,0.3,3,1,2,0.47
60,30,0.3,3,1,3,0.1
60,30,0.3,3,1,3,0.47
60,30,0.3,3,2,1,0.1
60,30,0.3,3,2,1,0.47
60,30,0.3,3,2,2,0.1
60,30,0.3,3,2,2,0.47
60,30,0.3,3,2,3,0.1
60,30,0.3,3,2,3,0.47
60,30,0.3,3,3,1,0.1
60,30,0.3,3,3,1,0.47
60,30,0.3,3,3,2,0.1
60,30,0.3,3,3,2,0.47
60,30,0.3,3,3,3,0.1
60,30,0.3,3,3,3,0.47
200,10,0.1,1,1,1,0.1
200,10,0.1,1,1,1,0.47
200,10,0.1,1,1,2,0.1
200,10,0.1,1,1,2,0.47
200,10,0.1,1,1,3,0.1
200,10,0.1,1,1,3,0.47
200,10,0.1,1,2,1,0.1
200,10,0.1,1,2,1,0.47
200,10,0.1,1,2,2,0.1
200,10,0.1,1,2,2,0.47
200,10,0.1,1,2,3,0.1
200,10,0.1,1,2,3,0.47
200,10,0.1,1,3,1,0.1
200,10,0.1,1,3,1,0.47
200,10,0.1,1,3,2,0.1
200,10,0.1,1,3,2,0.47
200,10,0.1,1,3,3,0.1
200,10,0.1,1,3,3,0.47
200,10,0.1,2,1,1,0.1
200,10,0.1,2,1,1,0.47
200,10,0.1,2,1,2,0.1
200,10,0.1,2,1,2,0.47
200,10,0.1,2,1,3,0.1
200,10,0.1,2,1,3,0.47
200,10,0.1,2,2,1,0.1
200,10,0.1,2,2,1,0.47
200,10,0.1,2,2,2,0.1
200,10,0.1,2,2,2,0.47
200,10,0.1,2,2,3,0.1
200,10,0.1,2,2,3,0.47
200,10,0.1,2,3,1,0.1
200,10,0.1,2,3,1,0.47
200,10,0.1,2,3,2,0.1
200,10,0.1,2,3,2,0.47
200,10,0.1,2,3,3,0.1
200,10,0.1,2,3,3,0.47
200,10,0.1,3,1,1,0.1
200,10,0.1,3,1,1,0.47
200,10,0.1,3,1,2,0.1
200,10,0.1,3,1,2,0.47
200,10,0.1,3,1,3,0.1
200,10,0.1,3,1,3,0.47
200,10,0.1,3,2,1,0.1
200,10,0.1,3,2,1,0.47
200,10,0.1,3,2,2,0.1
200,10,0.1,3,2,2,0.47
200,10,0.1,3,2,3,0.1
200,10,0.1,3,2,3,0.47
200,10,0.1,3,3,1,0.1
200,10,0.1,3,3,1,0.47
200,10,0.1,3,3,2,0.1
200,10,0.1,3,3,2,0.47
200,10,0.1,3,3,3,0.1
200,10,0.1,3,3,3,0.47
200,10,0.3,1,1,1,0.1
200,10,0.3,1,1,1,0.47
200,10,0.3,1,1,2,0.1
200,10,0.3,1,1,2,0.47
200,10,0.3,1,1,3,0.1
200,10,0.3,1,1,3,0.47
200,10,0.3,1,2,1,0.1
200,10,0.3,1,2,1,0.47
200,10,0.3,1,2,2,0.1
200,10,0.3,1,2,2,0.47
200,10,0.3,1,2,3,0.1
200,10,0.3,1,2,3,0.47
200,10,0.3,1,3,1,0.1
200,10,0.3,1,3,1,0.47
200,10,0.3,1,3,2,0.1
200,10,0.3,1,3,2,0.47
200,10,0.3,1,3,3,0.1
200,10,0.3,1,3,3,0.47
200,10,0.3,2,1,1,0.1
200,10,0.3,2,1,1,0.47
200,10,0.3,2,1,2,0.1
200,10,0.3,2,1,2,0.47
200,10,0.3,2,1,3,0.1
200,10,0.3,2,1,3,0.47
200,10,0.3,2,2,1,0.1
200,10,0.3,2,2,1,0.47
200,10,0.3,2,2,2,0.1
200,10,0.3,2,2,2,0.47
200,10,0.3,2,2,3,0.1
200,10,0.3,2,2,3,0.47
200,10,0.3,2,3,1,0.1
200,10,0.3,2,3,1,0.47
200,10,0.3,2,3,2,0.1
200,10,0.3,2,3,2,0.47
200,10,0.3,2,3,3,0.1
200,10,0.3,2,3,3,0.47
200,10,0.3,3,1,1,0.1
200,10,0.3,3,1,1,0.47
200,10,0.3,3,1,2,0.1
200,10,0.3,3,1,2,0.47
200,10,0.3,3,1,3,0.1
200,10,0.3,3,1,3,0.47
200,10,0.3,3,2,1,0.1
200,10,0.3,3,2,1,0.47
200,10,0.3,3,2,2,0.1
200,10,0.3,3,2,2,0.47
200,10,0.3,3,2,3,0.1
200,10,0.3,3,2,3,0.47
200,10,0.3,3,3,1,0.1
200,10,0.3,3,3,1,0.47
200,10,0.3,3,3,2,0.1
200,10,0.3,3,3,2,0.47
200,10,0.3,3,3,3,0.1
200,10,0.3,3,3,3,0.47
200,30,0.1,1,1,1,0.1
200,30,0.1,1,1,1,0.47
200,30,0.1,1,1,2,0.1
200,30,0.1,1,1,2,0.47
200,30,0.1,1,1,3,0.1
200,30,0.1,1,1,3,0.47
200,30,0.1,1,2,1,0.1
200,30,0.1,1,2,1,0.47
200,30,0.1,1,2,2,0.1
200,30,0.1,1,2,2,0.47
200,30,0.1,1,2,3,0.1
200,30,0.1,1,2,3,0.47
200,30,0.1,1,3,1,0.1
200,30,0.1,1,3,1,0.47
200,30,0.1,1,3,2,0.1
200,30,0.1,1,3,2,0.47
200,30,0.1,1,3,3,0.1
200,30,0.1,1,3,3,0.47
200,30,0.1,2,1,1,0.1
200,30,0.1,2,1,1,0.47
200,30,0.1,2,1,2,0.1
200,30,0.1,2,1,2,0.47
200,30,0.1,2,1,3,0.1
200,30,0.1,2,1,3,0.47
200,30,0.1,2,2,1,0.1
200,30,0.1,2,2,1,0.47
200,30,0.1,2,2,2,0.1
200,30,0.1,2,2,2,0.47
200,30,0.1,2,2,3,0.1
200,30,0.1,2,2,3,0.47
200,30,0.1,2,3,1,0.1
200,30,0.1,2,3,1,0.47
200,30,0.1,2,3,2,0.1
200,30,0.1,2,3,2,0.47
200,30,0.1,2,3,3,0.1
200,30,0.1,2,3,3,0.47
200,30,0.1,3,1,1,0.1
200,30,0.1,3,1,1,0.47
200,30,0.1,3,1,2,0.1
200,30,0.1,3,1,2,0.47
200,30,0.1,3,1,3,0.1
200,30,0.1,3,1,3,0.47
200,30,0.1,3,2,1,0.1
200,30,0.1,3,2,1,0.47
200,30,0.1,3,2,2,0.1
200,30,0.1,3,2,2,0.47
200,30,0.1,3,2,3,0.1
200,30,0.1,3,2,3,0.47
200,30,0.1,3,3,1,0.1
200,30,0.1,3,3,1,0.47
200,30,0.1,3,3,2,0.1
200,30,0.1,3,3,2,0.47
200,30,0.1,3,3,3,0.1
200,30,0.1,3,3,3,0.47
200,30,0.3,1,1,1,0.1
200,30,0.3,1,1,1,0.47
200,30,0.3,1,1,2,0.1
200,30,0.3,1,1,2,0.47
200,30,0.3,1,1,3,0.1
200,30,0.3,1,1,3,0.47
200,30,0.3,1,2,1,0.1
200,30,0.3,1,2,1,0.47
200,30,0.3,1,2,2,0.1
200,30,0.3,1,2,2,0.47
200,30,0.3,1,2,3,0.1
200,30,0.3,1,2,3,0.47
200,30,0.3,1,3,1,0.1
200,30,0.3,1,3,1,0.47
200,30,0.3,1,3,2,0.1
200,30,0.3,1,3,2,0.47
200,30,0.3,1,3,3,0.1
200,30,0.3,1,3,3,0.47
200,30,0.3,2,1,1,0.1
200,30,0.3,2,1,1,0.47
200,30,0.3,2,1,2,0.1
200,30,0.3,2,1,2,0.47
200,30,0.3,2,1,3,0.1
200,30,0.3,2,1,3,0.47
200,30,0.3,2,2,1,0.1
200,30,0.3,2,2,1,0.47
200,30,0.3,2,2,2,0.1
200,30,0.3,2,2,2,0.47
200,30,0.3,2,2,3,0.1
200,30,0.3,2,2,3,0.47
200,30,0.3,2,3,1,0.1
200,30,0.3,2,3,1,0.47
200,30,0.3,2,3,2,0.1
200,30,0.3,2,3,2,0.47
200,30,0.3,2,3,3,0.1
200,30,0.3,2,3,3,0.47
200,30,0.3,3,1,1,0.1
200,30,0.3,3,1,1,0.47
200,30,0.3,3,1,2,0.1
200,30,0.3,3,1,2,0.47
200,30,0.3,3,1,3,0.1
200,30,0.3,3,1,3,0.47
200,30,0.3,3,2,1,0.1
200,30,0.3,3,2,1,0.47
200,30,0.3,3,2,2,0.1
200,30,0.3,3,2,2,0.47
200,30,0.3,3,2,3,0.1
200,30,0.3,3,2,3,0.47
200,30,0.3,3,3,1,0.1
200,30,0.3,3,3,1,0.47
200,30,0.3,3,3,2,0.1
200,30,0.3,3,3,2,0.47
200,30,0.3,3,3,3,0.1
200,30,0.3,3,3,3,0.47
